	REGULATOR	TARGET	VALUE
1086229	CIR1	CNAG_00349	0.704403162002563
1086401	CIR1	CNAG_00540	0.704403162002563
1086442	CIR1	CNAG_00587	0.704403162002563
1086497	CIR1	SRX1	0.704403162002563
1086676	CIR1	CNAG_00844	0.704403162002563
1086931	CIR1	CCP1	0.704403162002563
1087395	CIR1	CIG1	0.704403162002563
1087773	CIR1	SIT2	0.704403162002563
1088408	CIR1	CNAG_02839	0.704403162002563
1088976	CIR1	LAC1	0.704403162002563
1088988	CIR1	TSA1	0.704403162002563
1089219	CIR1	CNAG_03746	0.704403162002563
1089745	CIR1	CNAG_04325	0.704403162002563
1089865	CIR1	CNAG_04469	0.704403162002563
1090111	CIR1	CNAG_04753	0.704403162002563
1090169	CIR1	CNAG_04818	0.704403162002563
1090562	CIR1	CNAG_05279	0.704403162002563
1090717	CIR1	MTN1	0.704403162002563
1090746	CIR1	CNAG_05479	0.704403162002563
1091082	CIR1	TRR1	0.704403162002563
1091410	CIR1	CFT1	0.704403162002563
1091761	CIR1	CNAG_06650	0.704403162002563
1091762	CIR1	CNAG_06651	0.704403162002563
1092127	CIR1	CNAG_07367	0.704403162002563
1092468	CIR1	CNAG_07784	0.704403162002563
1092480	CIR1	CNAG_07802	0.704403162002563
1087669	CIR1	CNAG_01965	0.675604671239853
1091409	CIR1	CFO1	0.66486182808876
1091650	CIR1	FRE3	0.66486182808876
1091680	CIR1	CNAG_06557	0.66486182808876
1092515	CIR1	CNAG_07844	0.66486182808876
1092539	CIR1	CNAG_07870	0.66486182808876
1091679	CIR1	CNAG_06556	0.6430632174015051
1092440	CIR1	CNAG_07751	0.6430632174015051
1090610	CIR1	CNAG_05330	0.634211540222168
1087793	CIR1	SFH5	0.630113780498505
1088183	CIR1	CNAG_02548	0.630113780498505
1088500	CIR1	CNAG_02935	0.6197090446949011
1089868	CIR1	CNAG_04472	0.6197090446949011
1087026	CIR1	HAPX	0.616694152355194
1087933	CIR1	CNAG_02264	0.616694152355194
1089828	CIR1	CNAG_04416	0.6149497628211981
1090224	CIR1	CNAG_04877	0.6149497628211981
788809	FZC31	CNAG_05869	0.5945690302771917
1086857	CIR1	FRK102	0.587993860244751
1088671	CIR1	ATG2602	0.587993860244751
1089866	CIR1	CNAG_04470	0.587993860244751
1061697	GAT201	CNAG_03140	0.586688220500946
1064391	GAT201	CNAG_06200	0.586688220500946
1089328	CIR1	CNAG_03874	0.58439227938652
1087653	CIR1	CNAG_01949	0.58260041475296
1089361	CIR1	LPI5	0.581247717142105
1092475	CIR1	CLR6	0.575663238763809
1089004	CIR1	FRE201	0.570734620094299
1086868	CIR1	CNAG_01075	0.567254275083542
1089907	CIR1	CNAG_04521	0.560487300157547
1059472	GAT201	DIP5	0.558810591697693
1063482	GAT201	CNAG_05159	0.558810591697693
1063615	GAT201	CNAG_05312	0.558810591697693
1064517	GAT201	BLP1	0.558810591697693
