REGULATOR	TARGET	REGULATOR-COM	TARGET-COM	VALUE
04864	00349	CIR1	00349	0.704403162002563
04864	00540	CIR1	00540	0.704403162002563
04864	00587	CIR1	00587	0.704403162002563
04864	00654	CIR1	SRX1	0.704403162002563
04864	00844	CIR1	00844	0.704403162002563
04864	01138	CIR1	CCP1	0.704403162002563
04864	01653	CIR1	CIG1	0.704403162002563
04864	02083	CIR1	SIT2	0.704403162002563
04864	02839	CIR1	02839	0.704403162002563
04864	03465	CIR1	LAC1	0.704403162002563
04864	03482	CIR1	TSA1	0.704403162002563
04864	03746	CIR1	03746	0.704403162002563
04864	04325	CIR1	04325	0.704403162002563
04864	04469	CIR1	04469	0.704403162002563
04864	04753	CIR1	04753	0.704403162002563
04864	04818	CIR1	04818	0.704403162002563
04864	05279	CIR1	05279	0.704403162002563
04864	05449	CIR1	MTN1	0.704403162002563
04864	05479	CIR1	05479	0.704403162002563
04864	05847	CIR1	TRR1	0.704403162002563
04864	06242	CIR1	CFT1	0.704403162002563
04864	06650	CIR1	06650	0.704403162002563
04864	06651	CIR1	06651	0.704403162002563
04864	07367	CIR1	07367	0.704403162002563
04864	07784	CIR1	07784	0.704403162002563
04864	07802	CIR1	07802	0.704403162002563
04864	01965	CIR1	01965	0.675604671239853
04864	06241	CIR1	CFO1	0.66486182808876
04864	06524	CIR1	FRE3	0.66486182808876
04864	06557	CIR1	06557	0.66486182808876
04864	07844	CIR1	07844	0.66486182808876
04864	07870	CIR1	07870	0.66486182808876
04864	06556	CIR1	06556	0.6430632174015051
04864	07751	CIR1	07751	0.6430632174015051
04864	05330	CIR1	05330	0.634211540222168
04864	02104	CIR1	SFH5	0.630113780498505
04864	02548	CIR1	02548	0.630113780498505
04864	02935	CIR1	02935	0.6197090446949011
04864	04472	CIR1	04472	0.6197090446949011
04864	01242	CIR1	HAPX	0.616694152355194
04864	02264	CIR1	02264	0.616694152355194
04864	04416	CIR1	04416	0.6149497628211981
04864	04877	CIR1	04877	0.6149497628211981
03741	05869	FZC31	05869	0.5945690302771917
04864	01061	CIR1	FRK102	0.587993860244751
04864	03133	CIR1	ATG2602	0.587993860244751
04864	04470	CIR1	04470	0.587993860244751
01551	03140	GAT201	03140	0.586688220500946
01551	06200	GAT201	06200	0.586688220500946
04864	03874	CIR1	03874	0.58439227938652
04864	01949	CIR1	01949	0.58260041475296
04864	03912	CIR1	LPI5	0.581247717142105
04864	07797	CIR1	CLR6	0.575663238763809
04864	03498	CIR1	FRE201	0.570734620094299
04864	01075	CIR1	01075	0.567254275083542
04864	04521	CIR1	04521	0.560487300157547
01551	00597	GAT201	DIP5	0.558810591697693
01551	05159	GAT201	05159	0.558810591697693
01551	05312	GAT201	05312	0.558810591697693
01551	06346	GAT201	BLP1	0.558810591697693
03741	03833	FZC31	03833	0.5544618174763174
04864	00639	CIR1	URO3	0.551861673593521
04864	01490	CIR1	01490	0.551861673593521
04864	05016	CIR1	05016	0.551861673593521
01551	00011	GAT201	00011	0.5500238239765171
01551	00126	GAT201	00126	0.5500238239765171
01551	00688	GAT201	00688	0.5500238239765171
01551	02044	GAT201	02044	0.5500238239765171
01551	02455	GAT201	02455	0.5500238239765171
01551	03848	GAT201	03848	0.5500238239765171
01551	05066	GAT201	05066	0.5500238239765171
01551	06762	GAT201	GAT204	0.5500238239765171
04864	01993	CIR1	01993	0.542983710765839
04864	01952	CIR1	01952	0.539296954870224
04864	05015	CIR1	CAT4	0.539296954870224
04864	06817	CIR1	UAP1	0.537464588880539
04864	06818	CIR1	HAP1	0.534810483455658
03741	01487	FZC31	01487	0.5328966799085605
01551	02040	GAT201	02040	0.5260309278965
05835	03433	LIV3	03433	0.523850917816162
05835	04500	LIV3	04500	0.523850917816162
01551	00251	GAT201	00251	0.5216893255710601
01551	00275	GAT201	00275	0.5216893255710601
01551	00598	GAT201	00598	0.5216893255710601
01551	00735	GAT201	00735	0.5216893255710601
01551	00883	GAT201	ECM2201	0.5216893255710601
01551	03078	GAT201	NPP1	0.5216893255710601
01551	03644	GAT201	CAS3	0.5216893255710601
01551	03719	GAT201	03719	0.5216893255710601
01551	03735	GAT201	CAP4	0.5216893255710601
01551	04874	GAT201	04874	0.5216893255710601
01551	05079	GAT201	05079	0.5216893255710601
